query	label
拉萨军团来了	未攻击用户
先补习一下小学语文再来吧里发贴子好吗？咱好歹也14年股龄啦，不嫌丢脸吗？	未攻击用户
留1元钱明天买眼药水。	未攻击用户
别来唱空了 看见你打字就恶心🤢  对我是韭菜 你是高手 迈为马上退市了  我已经爆仓了 满意了？	攻击用户
[闭嘴]12[闭嘴]12[闭嘴]12	未攻击用户
不一定就错，如果看好的话，今天下来的时候接回来	未攻击用户
六十不买现在锁仓，你是不是有问题	未攻击用户
明知道会跌完，干嘛现在不出，等跌完了再接回来？	未攻击用户
确实没有调整好	未攻击用户
你这操作的很好啊，郁闷啥	未攻击用户
[棒]27[棒]27[棒]27这不是蒙，这真是技术	未攻击用户
祝贺你被砖家忽悠久了，也成专业股评人士！	未攻击用户
哈哈哈	未攻击用户
做梦的人不少	未攻击用户
好可怜！	未攻击用户
这个老板就是龙利德的老板[捂脸]18	未攻击用户
诱空走势，下午照样拉起来，看看周五就明白了	未攻击用户
恕我直言，被骗筹码的人赶紧销户远离股市	未攻击用户
八号12.5你说买不到找你的，现在怎么说！！？不是精通缠论吗[打脸]19[打脸]19[打脸]19？回应下！！	攻击用户
不买腾讯还能买啥，今年港股大牛	未攻击用户
三花在特斯拉那占6.5成供应量 绝对大头。	未攻击用户
就怕鱼死了，网不破	攻击用户
托托托托托托托托托	攻击用户
我来	未攻击用户
大胆点，把涨停俩字去掉	未攻击用户
应该还有一次跌停式强洗。	未攻击用户
高端就三星与京东方，剩下的都是其他。	未攻击用户
东莞证券下周上会，上会前天天涨停板	未攻击用户
想回本赶紧加仓，	未攻击用户
冬奥结束，特大利好	未攻击用户
好的我100股拿到80	未攻击用户
证券喜欢你这样按时交税的，可惜资金量太小了	未攻击用户
我就是回本就卖了，成功被洗	未攻击用户
像你没事bp的人，就不可能走	未攻击用户
军工雄起也么它啥事	未攻击用户
哈哈哈哈哈??	未攻击用户
哈哈哈，	未攻击用户
哪有啊？	未攻击用户
放心，就是一个反弹而已，我等下找机会开空来陪你哈	未攻击用户
什么宣传	未攻击用户
大神，能说说具体的价格吗？	未攻击用户
24.04全仓杀杀入！	未攻击用户
哪看的	未攻击用户
看完了，我笑着笑着就哭了！	未攻击用户
总是被打脸，照旧不悔改	攻击用户
不就是个电气柜吗，干不过深圳小企	未攻击用户
9：25就能成交了	未攻击用户
不看k线图，看你这条留言也大致能猜出近期是怎么走的，果然 哈哈哈.	未攻击用户
最不是东西的就是他	未攻击用户
低调低调	未攻击用户
筹码没吃够唱什么唱，筹码吃的差不多了再闹	未攻击用户
信你卖仓	未攻击用户
笨蛋明天绝对高开	未攻击用户
这货说的没错，大家赶紧抛[狗]28	未攻击用户
有订单吗	未攻击用户
宁波建工看一下[捂脸]18	未攻击用户
创业版的优质票。	未攻击用户
什么王炸	未攻击用户
娃别想太多对脑子不好	攻击用户
最多退市，退市又怎么样？罐子还在，一样赚钱，股价该涨还是涨	未攻击用户
上午上去3-5个点，上午收跌，继续低位震荡半个月以上	未攻击用户
没解禁怎么收割	未攻击用户
因为很多人觉得它业绩好，看好它，所以跌。是个长票。	未攻击用户
这还低开是什么原理	未攻击用户
股东人数增加了，你想这个垃圾会涨吗？最好多跌一点。	未攻击用户
打爆空头	未攻击用户
白激动了哈哈哈哈哈<br />	未攻击用户
用英伟达的芯片，跟中芯有啥关系	未攻击用户
用什么看好啊？大哥	未攻击用户
都还没开盘，开盘后可能变绿	未攻击用户
出雅本进南凌和奥飞，留下兄弟的发财。	未攻击用户
那赶紧抢博地天	未攻击用户
就是说，今天要跌停！而且是连续的。	未攻击用户
没毛病	未攻击用户
四千点才是起点	未攻击用户
流通股90亿，也不小呀，如果40亿股话，庄家是不是好拉些。	未攻击用户
我是5元多	未攻击用户
说的是中信，马上又该炒俩中信合并的噱头了	未攻击用户
20分钟撤单	未攻击用户
违规操作	未攻击用户
属于东跌西跌的股票	未攻击用户
跌停吧	未攻击用户
倒水点烟估计都得排队等半个小时	未攻击用户
好歹夹两口菜啊	未攻击用户
不	未攻击用户
看看筹码现在是啥色了？[龇牙]8	未攻击用户
我走，你们发财	未攻击用户
利好在哪？	未攻击用户
低位出利好，想想吧	未攻击用户
到10.2先解套再说	未攻击用户
那我跑还是不跑	未攻击用户
我也是空抗一百个点了，这不疯了吗	未攻击用户
睡狮醒了	未攻击用户
看资金怎么选择，今天不强势，可以先出局观望	未攻击用户
厉害	未攻击用户
??直接干鸡进小黑屋，出来继续干	未攻击用户
卖得快好啊。爽[棒]27	未攻击用户
就是看好这些 被忽悠进来 被套死死的 百分之二十估计5年 之间可能让我们有跑的机会 企业没倒闭的前提下	未攻击用户
这时的散户都打算当长期股东，不会割肉了	未攻击用户
一字板，想多了啊[龇牙]8	未攻击用户
这还不明白，前期拟定增发价50元，机构不买单，认为高估了，没什么油水，只能调整到35元，机构才会参与！	未攻击用户
吹逼大王	未攻击用户
你的工资收入涨了没	未攻击用户
不到10倍	未攻击用户
真的大佬，一朝生死就看明天了	未攻击用户
不说话好点	未攻击用户
暗示要涨停，还好我理解了主力意图。不走就好	未攻击用户
看这个竞价估计凉凉	未攻击用户
[棒]27[黑人问号]20	未攻击用户
15年的也来报道	未攻击用户
没有散户的股，主力靠你够吗？能出掉货吗？	攻击用户
拿了半年，倒在启动前。	未攻击用户
一个周砸到六十我就满仓进了，可惜不能，主力进仓位置在那，六十的筹码抢都抢不到。	未攻击用户
假单，别冲动	未攻击用户
满仓空，95爆仓，欢迎搞我	未攻击用户
南天信息不属于东数西算[吐血]11[吐血]11	未攻击用户
你加仓好了！托！少忽悠人去接盘！	未攻击用户
脸疼不	攻击用户
你那么厉害要赚大钱了	未攻击用户
感觉现在是机构自己在玩，	未攻击用户
天天挂，天天买不进	未攻击用户
龙二没问题，龙一够呛，毕竟宁波建工前两个板是老基建，借着身位直接当龙一了	未攻击用户
您出门左转行么，没强迫你买！	未攻击用户
国内新冠检测根本没有九安啥事	未攻击用户
有这个意识的人怎么会出现在这里发言	未攻击用户
不可能200点，说谎也要打草稿的	未攻击用户
*ST金刚(300064)2022年2月18日dde散户数量为0。说明散户数量没有明显变化，主力筹码没有明显动向。该股在两市中散户数量排名名次为2649。	未攻击用户
我该庆幸我买上了，还是应该恭喜你们卖出了。<br />	未攻击用户
满仓干正强喝西北风去吧[可爱]2[龇牙]8[龇牙]8[龇牙]8	未攻击用户
你这追涨杀跌的本事牛逼，估计家里有金山，这么喜欢接套	攻击用户
没上车吗兄弟	未攻击用户
马上要解放了	未攻击用户
少在股吧卖弄，会被庄家抽脸。	未攻击用户
不好说。  散户都来了。能顶几天可能	未攻击用户
谁说了算[捂脸]18	未攻击用户
肯定有还和华为合作开发	未攻击用户
就看不惯几个瞎扯的。	攻击用户
创业板	未攻击用户
专业	未攻击用户
是啊，零散买了两万多股	未攻击用户
想多了吧	未攻击用户
连夜把董事长开除了[捂脸]18[捂脸]18[捂脸]18本来今天低开买入的我生气了	未攻击用户
还是企业，业绩好我相信	未攻击用户
哪里看到的？	未攻击用户
我想过，它到底是馊了呢？还是馊了，亦或者已经馊了[白眼]9	未攻击用户
忽悠的	攻击用户
你这顶部怎么看出来的，指点一下	未攻击用户
散户的世界	未攻击用户
说的有道理，但是10元太少了能看到20多元。	未攻击用户
都看涨，我特么快跑	未攻击用户
都是套牢盘了 ，筹码已经没了	未攻击用户
<br />一手好牌打得稀烂	未攻击用户
农业的再选几只	未攻击用户
卖了没有？	未攻击用户
你也是哦[龇牙]8[龇牙]8[龇牙]8[龇牙]8	未攻击用户
对了这个股还喜欢长上影线，不行明天再来最好。（仅供参考）	未攻击用户
现在那条gou不会出来，等拉上去一点马上就要出来旺旺旺了	攻击用户
躲过了周五<br />难躲过周一[捂脸]18	未攻击用户
不鸣则已，一呜惊人，耐心持股。	未攻击用户
我还真做梦着	未攻击用户
就这样还炒股六年，你炒的是个蛋吧	未攻击用户
说我什么什么的，不辩论。反正我低位进的。有赚就行。	未攻击用户
爬坡门UNO头痛<br />从最近3年的年度表现来看，2020年是以“两瓶酒”为代表的大消费表演的一年。2021年是以宁德时代为代表的新能源表现的一年。显而易见三大板块中主要的两大板块在过去两年里都轮番表演过了。水皮想现在无论如何，即便从保守的角度来讲，如果有结构性机会，也只可能是大金融板块。大盘指数已经走坏，注定今年是震荡调整行情，高估值版块风险加大，主力资金调仓换股到低估值滞涨的银行金融版块，江浙地区的银行受益于当地经济发展，发展空间巨大，具有涨停基因的小市值紫金银行底部已出现，目前月线金叉，趋势处于上升通道，布局建仓时机，未来可期，正在酝酿大行情，全面注册制后银行股也会有20cm大长腿	未攻击用户
碧桂园这么牛批的都要爆了，别说其他一些小房企了。	未攻击用户
呵呵	未攻击用户
你是解禁的46个股都买了吗？	未攻击用户
忽悠接着忽悠	攻击用户
有啥鸟用呢？	未攻击用户
红都难[捂脸]18我进了后悔死了，还有几个跌停	未攻击用户
我是5500股，启动前卖了2200股想做T[捂脸]18[捂脸]18[捂脸]18	未攻击用户
啥心态，你要是能早知道股票低点，早TM成世界首富了	未攻击用户
老懂哥了	未攻击用户
今天低开  你上车不	未攻击用户
这个主力小气的很	未攻击用户
涨停了[捂脸]18[捂脸]18[捂脸]18	未攻击用户
上次看到这个是在雅化，赚了18个点卖飞了[色]4	未攻击用户
大家都快跑	未攻击用户
你这已经大赚一笔了	未攻击用户
引导那些没什么用，里面资金不认可了	未攻击用户
别怕，慢慢来	未攻击用户
趋势比较明显可以使用，也就是自己买的时候要有个基础判断，我去年一只不断上涨几个月的股票，操作两回每次都亏直接崩溃了。不过感觉熊市慢慢靠近了	未攻击用户
底部是哪儿	未攻击用户
还要腰斩，孩子	未攻击用户
见证奇迹的时刻	未攻击用户
徐工的业绩是真是假值得怀疑，为什么股价就是不涨？	未攻击用户
儿子太多，顾不过来，自身难保	未攻击用户
最好还是9点25以后来看，现在还可以撤的	未攻击用户
需要给你打脸吗？给你做宣传？你也配？	攻击用户
不是股票，将国家大数据中心引导到西部，数据共享。	未攻击用户
你猜的真准，我也买了，哈哈	未攻击用户
你指定有点啥毛病	攻击用户
跌停	未攻击用户
看来360横盘太久，硬生生创造了一个故事大王，眼泪水看了笑出[笑哭][笑哭][笑哭]	未攻击用户
明天低开低走跌停清仓。哥们你赚不了多少钱	未攻击用户
不会退市的，我也买了顶你	未攻击用户
太衰	未攻击用户
还在忽悠大家接盘，居心叵测	攻击用户
不涨停都对不起这些分析大师。	未攻击用户
骗人	未攻击用户
有割这个去接盘东西的吗？会不会两头挨打	攻击用户
拿好了 周四才开板[龇牙]8	未攻击用户
你有病就去治，一天发几百条信息有用吗？	攻击用户
生不逢时，在投产初期遇到东数西算概念炒作，反向了	未攻击用户
帅不过三秒的	未攻击用户
不喝面，那就吃面吧	未攻击用户
点个赞	未攻击用户
你是主力派来逗B的吗？周一不亏死你才怪	攻击用户
脸疼不	攻击用户
高手	未攻击用户
真的搞笑  你要不要研究一下董事长家住在哪里 家里几个人 喜欢吃什么 做个股票考虑那么复杂  杞人忧天	攻击用户
这个抬走吧	未攻击用户
少叽歪，你除了占嘴其它没什么了	未攻击用户
股票的涨跌和你说的这个有关系吗	未攻击用户
[棒]27	未攻击用户
16，真心累	未攻击用户
你是托吗？	攻击用户
破位了，还懂个鬼	未攻击用户
早上给大把时间买啊，还买不到？	未攻击用户
你这不大亏啊	未攻击用户
网络不是法外之地，切记哦[捂脸]18	未攻击用户
不说了吧	未攻击用户
6年股神威武	未攻击用户
想太多	未攻击用户
事实胜于雄辩，静观其变！	未攻击用户
这你哪叫最高点！我所有的盈利全被这破股害死了！现在倒亏十几万！连之前买基金的盈利都搭没了！	未攻击用户
等原油到技术性要下跌了，美国又会挑事加剧冲突进行拉升反弹[狗]28 多空双杀	未攻击用户
本来是7%	未攻击用户
严防直接有效突破3.35元	未攻击用户
就不跑就不跑	未攻击用户
故意的，为了吸引跟风盘，找接盘的	未攻击用户
基建股20倍PE已经是超级高估值了	未攻击用户
最少半年才能结束	未攻击用户
有本事的人就不会像你这样乱叫	攻击用户
借你吉言	未攻击用户
你也说了，是做梦	未攻击用户
没量了   估计要躺平了	未攻击用户
今天感觉又没什么行情了……	未攻击用户
傻口	未攻击用户
京东方的面板靠价格低赢得市场，物联网还不知道抓手是啥，瞎撞。靠科技盈利路还很长。一个字，等。	未攻击用户
这个价格危险啥？	未攻击用户
你一直看好，有什么依据	未攻击用户
你是大忽悠吗	攻击用户
你有没有，有的话赶紧出	未攻击用户
山东药玻主要是模制瓶，中硼硅管制瓶年产2000万只，根本入不了mRNA企业的眼。正川股份几乎全是钠钙玻管制瓶，只能装口服液。	未攻击用户
4.93又买一万股，待会4.95卖，赚150今天的工资	未攻击用户
跑的都是不干净的	未攻击用户
今天必跌，我说的！！！！	未攻击用户
420万手封单	未攻击用户
1月股龄[棒]27	未攻击用户
求关注	未攻击用户
不怕死的尽管进	未攻击用户
喝多了就去睡吧	未攻击用户
今天一字板跌停开盘，散户割肉没机会了。	未攻击用户
不跟雅本，这垃圾了	未攻击用户
散户说有你就有[笑]1	未攻击用户
[捂脸]18[捂脸]18	未攻击用户
你这个托，别来误导他人了，一天说多少次了	攻击用户
公布什么消息	未攻击用户
中石油	未攻击用户
没有一字板就好。[龇牙]8	未攻击用户
我刚拉的37度，趁热吃很香的	攻击用户
你还真的清了啊。	未攻击用户
闭上你的臭嘴	未攻击用户
被套以后都会这么想	未攻击用户
最近A股成了全球风向标了	未攻击用户
你有货么[龇牙]8[龇牙]8[龇牙]8	未攻击用户
等等来明天70元都买不倒大哥	未攻击用户
装个der，bbll的	未攻击用户
他在广东宏大和st济堂亏傻了 估计是st济堂一字跌停让这孩子疯了 每个龙头股底下每天评论跌停哈哈哈哈	未攻击用户
跑了[棒]27	未攻击用户
海油工程的散户不应该再卖了，而应该是介入机构和庄家的买卖，让他们自己左手换右手，在逢低的情况下，我们散户在介入，让他坑我们的成本增加	未攻击用户
朋友你不适合这个，还是老老实实去打工吧	攻击用户
你不是说它要创新高吗	未攻击用户
绿柱[笑哭][笑哭][捂脸]18	未攻击用户
，市场不看好他，没主力买。他还是跌。晕了。	未攻击用户
后悔了吧？	未攻击用户
今天高点出了3分之一	未攻击用户
你是拖把，让人低位割肉。良心不痛吗？	未攻击用户
你见过它有过一字板？??	未攻击用户
现在还高啊，抛啥啊	未攻击用户
啪啪啪，疼不疼？	攻击用户
连5090都不到，666居然被止损	未攻击用户
北约乌克兰一意孤行必打，而且乌克兰将不复存在。	未攻击用户
同意??	未攻击用户
诱多，自己转手的	未攻击用户
你看见外盘涨了？	攻击用户
套牢盘太多了	未攻击用户
马上绿！！！！！不要急，解禁股不能碰	未攻击用户
跟着满仓干空的朋友们就问你们爽不爽啊	未攻击用户
哈哈哈	未攻击用户
[流泪]7[流泪]7[流泪]7	未攻击用户
你咋看出来了，庄家给你说了？或者你是主力的情人？	未攻击用户
抢跑才差不多，追高必套	未攻击用户
跌成这样，还不是有雷	未攻击用户
我想买	未攻击用户
看到最后我忍不住的笑出声了[棒]27	未攻击用户
牛逼啊 人生赢家	未攻击用户
你看的是以前，长久看，格力的利润是在萎缩	未攻击用户
东数西算蹭的过于牵强	未攻击用户
怎么看散户多	未攻击用户
基金经理<br />从最近3年的年度表现来看，2020年是以“两瓶酒”为代表的大消费表演的一年。2021年是以宁德时代为代表的新能源表现的一年。显而易见三大板块中主要的两大板块在过去两年里都轮番表演过了。水皮想现在无论如何，即便从保守的角度来讲，如果有结构性机会，也只可能是大金融板块。大盘指数已经走坏，注定今年是震荡调整行情，高估值版块风险加大，主力资金调仓换股到低估值滞涨的银行金融版块，江浙地区的银行受益于当地经济发展，发展空间巨大，具有涨停基因的小市值紫金银行底部已出现，目前月线金叉，趋势处于上升通道，布局建仓时机，未来可期，正在酝酿大行情，全面注册制后银行股也会有20cm大长腿	未攻击用户
[龇牙]8说明到底了	未攻击用户
好好搬砖吧，现在还来得及	未攻击用户
又忽悠	攻击用户
我也是[捂脸]18[捂脸]18	未攻击用户
那也是人才	未攻击用户
主力想怎么玩，就怎么玩	未攻击用户
敬畏市场，当心被市场打脸	未攻击用户
今天一字板跌停开盘，散户割肉没有机会。	未攻击用户
天天吹	未攻击用户
跌到0.5以下你信不信	未攻击用户
不用慌，喝茶待涨。上星期买入的稳稳的赚钱	未攻击用户
知道了，你多买一点。	未攻击用户
我一直以为你是男的啊。师傅你位你是男的感到自卑么。哎消息发不出来	未攻击用户
明天涨停板	未攻击用户
谁和你说好了[伤心]25[伤心]25[伤心]25	未攻击用户
不要怕	未攻击用户
运价都跌了，哪里涨了	未攻击用户
操心你自己的操作吧，留下的人有到3元的思想准备，别人不会傻到一次打满的	未攻击用户
宁建和佳力二选一选了宁建，佳力好猛	未攻击用户
给你来根大绿色就好看了	未攻击用户
这股票到7，8块钱时再注意哈	未攻击用户
这种行为存粹就是误导股民呀，还有比这更恶劣的行为吗	攻击用户
不是看好，而是深套了，割又不舍得，就只能待着	未攻击用户
韭菜唱多帖置顶 今天明显发套套	攻击用户
涨停了你卖个鬼 输死你玩股票	攻击用户
这种动不动就减持的东西早该退市了	未攻击用户
确实起飞了	未攻击用户
这是子公司？？	未攻击用户
傍富婆的吧？	未攻击用户
西算力概念必须爆炒，新概念	未攻击用户
你快滚吧 你在哪里 哪里就涨不起来 看见你好几次了	攻击用户
不要看盘面推测消息.....	未攻击用户
总算有人在了啊	未攻击用户
那我就跑一半	未攻击用户
直接涨停开得了呗	未攻击用户
天疯不风，小散必风	未攻击用户
赞同	未攻击用户
鬼知道，心情忑忐	未攻击用户
等到120卖	未攻击用户
我18.7的本，不知道这辈子能不能解套	未攻击用户
拿了三个月，也很幸福了	未攻击用户
钾肥涨上天和它有关系吗，它的钾肥肯定有散户不知道的问题	未攻击用户
爆你仓	未攻击用户
抄底抄底了	未攻击用户
跌回2.45元了，散户谨慎接盘	未攻击用户
你这种墙头草永远只能赚一点蝇头小利	未攻击用户
哪里看的<br />	未攻击用户
懂鸡毛…都出来多少次了…也没见怎么着，上次出来还涨了呢…非要强行联系，你害怕你就离开这股呗。	攻击用户
运气好的话明天小亏，运气差的话明天亏20%离场	未攻击用户
篮球鞋破了<br />从最近3年的年度表现来看，2020年是以“两瓶酒”为代表的大消费表演的一年。2021年是以宁德时代为代表的新能源表现的一年。显而易见三大板块中主要的两大板块在过去两年里都轮番表演过了。水皮想现在无论如何，即便从保守的角度来讲，如果有结构性机会，也只可能是大金融板块。大盘指数已经走坏，注定今年是震荡调整行情，高估值版块风险加大，主力资金调仓换股到低估值滞涨的银行金融版块，江浙地区的银行受益于当地经济发展，发展空间巨大，具有涨停基因的小市值紫金银行底部已出现，目前月线金叉，趋势处于上升通道，布局建仓时机，未来可期，正在酝酿大行情，全面注册制后银行股也会有20cm大长腿	未攻击用户
今天涨停	未攻击用户
忽悠	攻击用户
肯定有啊，宝	未攻击用户
如果美弟霸权陨落美元步苏俄卢布后尘，而1人民币换100美元，谁还在乎那2万亿美元资产（美元资产约占3万亿外储+1万亿民间外汇的一半。届时2万亿美元=200万人民币）贬值？	未攻击用户
兰州拉面吃了一碗，价值10个点	未攻击用户
少说了32手     太重要了	未攻击用户
相信老嫂子，全仓	未攻击用户
等下地天板	未攻击用户
周三开板，如果能回封，周四周五继续板	未攻击用户
你特么怕是脑壳带包，一天到晚要死要活的	未攻击用户
你这个做多的思路我跟诶赚了十几个点就跑了	未攻击用户
我也是22<br />	未攻击用户
放心，跑不了	未攻击用户
海晨啥消息	未攻击用户
唱戏吗	未攻击用户
看你以前评论知道你不是金刚的菜你哒空了吧??	未攻击用户
杀下去沙下去	未攻击用户
能买么？？	未攻击用户
主力在对倒，你没看见吗？	未攻击用户
没有资金再拿，也只能是股东	未攻击用户
真心不妙，不入了，转战	未攻击用户
你要这么说，那还有得跌	未攻击用户
那你继续持有吧	未攻击用户
我也在被套的路上	未攻击用户
向下的股票为什么还要做T，直接换了它不是更好吗！	未攻击用户
梦里啥都有	未攻击用户
我26就出	未攻击用户
这辈子大概够呛了	未攻击用户
涨也是在出货，刚不明天天天出不完货	未攻击用户
别在这丢人咯，我四个月满仓明天继续一字板，达者为先，股呆子跟我这种天才少年没得比的	未攻击用户
今天有复盘嘛	未攻击用户
一样啊	未攻击用户
扯的没边了 空仓就对了	攻击用户
妖股就是妖股，还谈什么业绩？??	未攻击用户
这里有三阳线了买	未攻击用户
虚张声势而已	未攻击用户
你很闲	未攻击用户
赶快拧螺丝去	攻击用户
死拖，害人害己	未攻击用户
是的涨停了	未攻击用户
作得好，有才	未攻击用户
到底能不能涨？<br />	未攻击用户
流通才1亿股，1百万手，封单3百万手，吃瓜看表演多好	未攻击用户
是的！[龇牙]8[龇牙]8[龇牙]8	未攻击用户
萧山陈总今天在旅游没竞价	未攻击用户
多少带点不正常	攻击用户
这目标三年割500亿的韭菜啊	未攻击用户
老板啊！什么时候能把欠的30%都还给我[捂脸]18[捂脸]18[捂脸]18	未攻击用户
你这样的人，也有亲戚？哦，错了，空狗一个	未攻击用户
三手空亏800元抓紧涨啊好补仓	未攻击用户
因为他是300开头的创业板	未攻击用户
哈哈哈，不错	未攻击用户
投资要有好的心态。没有投资的，不要酸了。涨有涨的道理。只是市场的选择，让市场来做决定！	未攻击用户
谁也不卖，板块还没涨呢，还得跟着板块涨呢	未攻击用户
加速盘才是坑货，比如首都在线	未攻击用户
你割了吗？[龇牙]8[龇牙]8[龇牙]8[龇牙]8	未攻击用户
你的话是从嘴里说出来的吗？	攻击用户
骗子	攻击用户
你买啊，吓死你	攻击用户
这是头部么？	未攻击用户
我觉得可以，我挂涨停卖了[吃瓜]15	未攻击用户
你貌似懂一点	未攻击用户
牛逼	未攻击用户
国家来开了，还不好吗	未攻击用户
没事这股长线利好	未攻击用户
哎，看到25	未攻击用户
为啥你都被打脸好多次了还有脸出来	攻击用户
主力肌肉好大块	未攻击用户
这是喝多少酒啊？喝蒙圈了吧！一粒花生米就能喝蒙圈了，要是给你一块臭豆腐你不得喝的看什么都是涨停板啊	未攻击用户
忽悠	攻击用户
但愿如此吧	未攻击用户
强啊	未攻击用户
俄乌打仗和美元涨有什么关系？	未攻击用户
短期看到1900	未攻击用户
搭到东邪西毒	未攻击用户
8年的韭菜，还是张口就来，天天猜涨跌	未攻击用户
不可能的了	未攻击用户
目标价34.6左右，	未攻击用户
拿好就是，千万不要手贱	未攻击用户
假得很，脸疼不，只看别叫	攻击用户
这是托	未攻击用户
一样	未攻击用户
我现在看空，我清仓，我等在连线位置有支撑了，不跌了我再进去	未攻击用户
9  10是秋季吧，遮阳伞，帐篷用的到。亚运会会带动旅游， 公司有在线旅游就是网上旅游商务	未攻击用户
没人出进了[龇牙]8[龇牙]8	未攻击用户
跌停	未攻击用户
你说它不是浙江板块？不属于亚运概念？是不是基建，是不是东西我不知道	未攻击用户
6吧	未攻击用户
淡定，还有下跌空间，周三前都是阴跌	未攻击用户
因为主力周五进来了。	未攻击用户
你们手续费都比我低	未攻击用户
电子雷管为 正宗的民爆及军工用品！芯片、智能电网、黄金等，今年3～5翻！	未攻击用户
这货就是托，赶紧走就是了	未攻击用户
能上110，你为什么自己不买	未攻击用户
是大富没钱了！想诈骗保险公司？	未攻击用户
下雨好有下雨就有希望	未攻击用户
高开低走预定	未攻击用户
设置一下 把买卖盘显示金额关了就好	未攻击用户
不看新闻？支持国有证券做大做强开展跨国业务	未攻击用户
一辈子吃不了四个菜的人	攻击用户
两块你照样不敢买	未攻击用户
放心拿住妥妥的	未攻击用户
高开就跑，还能怎样	未攻击用户
周五买的，今涨停卖了！小赚	未攻击用户
这几天涨得还少吗	未攻击用户
以后早点发，，我碰到这种“老师推荐”的避退三尺	未攻击用户
玩得嗨了	未攻击用户
这有撒不明白的，真是白炒股5年。藏獒就是主力的死党。就是冲在最前面挖坑的，敢死队，敢死队懂不，然后主力分他钱。	未攻击用户
前几天就割了	未攻击用户
两者兼有就可	未攻击用户
老板好人啊，我什么时候解套	未攻击用户
没记错好像5000亿！！！	未攻击用户
加仓了吗？哈哈	未攻击用户
今晚台子，敬各位股东主力	未攻击用户
笑死	未攻击用户
涨停前一天减了半仓	未攻击用户
别多说，看戏	未攻击用户
那将是狂风暴雨	未攻击用户
最害怕什么老师的。。。。	未攻击用户
结果出来了，主力一波洗，哈哈	未攻击用户
不会涨你还不割肉等着干啥呢	未攻击用户
和它没关系<br />	未攻击用户
被割了？	未攻击用户
还有个亚运会概念呢。	未攻击用户
你不写段子可惜了	未攻击用户
批量前肯定涨一波，真的批量了就开始往下走了	未攻击用户
快进	未攻击用户
别跟智涨一样天天叫好吗	未攻击用户
从月线上看，止跌早着呢，散户不要上当	未攻击用户
建工转债分析对的，斯莱，泉峰我也套了十个点左右，不知道后续会上去否??	未攻击用户
太有财鸟	未攻击用户
也需要显示器啊	未攻击用户
我也是	未攻击用户
正常心态	未攻击用户
哪里2-3倍 我???了 开盘20个点就跑<br />	未攻击用户
中国铁建，今天又是一个小三	未攻击用户
望它今天安全	未攻击用户
真会想	未攻击用户
就是一个菜鸟退出吧	攻击用户
没可能的，游资机构在前面	未攻击用户
一日游！	未攻击用户
不是在跌吗？	未攻击用户
估计你是疯了[白眼]9	未攻击用户
还是不错，赚了四十几个点了	未攻击用户
糟糕 按常识应该高开止盈 低开止损 赶紧撤了	未攻击用户
中原证券持续河南数据中心10的股权	未攻击用户
算了吧！实体太难了！我没线接盘了[流泪]7	未攻击用户
拖累板块	未攻击用户
